Company:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SerialNumber:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ManufacturerID:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AttendantName:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AttendantMail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserName:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserMail:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserLogin:,i0206271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description0:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Configuration application:,V05.02.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConfigurationFile:,C:\Users\Public\Documents\IPETRONIK\IPEmotion\Configuration\VGG2.7 MY JU 영향력 평가.iwf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConfigurationFileCreation:,2024-02-27 오후 1:08:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\Data:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상태-저장소 그룹-1.X,상태-저장소 그룹-1,시간_1Hz,1.T_OC IN,2.T_OC OUT,3.T_BAT 상 표면,4.T_BAT 상 표면 sealed,5.T_BAT 상 주변공기,6.T_BAT 전 표면,7.T_BAT 전 주변공기,8.T_BAT 우 표면,9.T_BAT 우 주변공기,10.T_BAT 좌 표면,11.T_BAT 좌 주변공기,12.T_BAT 후 표면,13.T_BAT 후 주변공기,14.T_BAT 하 표면,15.T_EG room,16.T_EG 흡기구,시간_10Hz,FEA6_EGturbo1BoostPress,EnginePercentLoadAtCurrentSpeed,ActualEnginePercentTorque,EngineSpeed,EngineCoolantTemperature,EngineFuelTemperature1,EngineOilTemperature1,EngineFuelDeliveryPressure,EngineOilPressure,EngineFuelRate,FanSpeed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(s),(),(s),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(°C),(s),(kPa),(%),(%),(rpm),(deg C),(deg C),(deg C),(kPa),(kPa),(l/h),(rpm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0101032,1,0.940537,28.1980621,28.98359655,19.60082399,19.03349355,22.65568017,18.1170367,17.50606546,18.2043183,18.33524071,18.37888151,18.37888151,20.86640726,23.74670024,17.59334707,21.4773785,17.33150225,0,          NOVALUE,          NOVALUE,          NOVALUE,1305,          NOVALUE,          NOVALUE,          NOVALUE,          NOVALUE,          NOVALUE,          NOVALUE,          NOVALUE
,,1.940537,28.1544213,28.93995575,19.51354238,18.98985275,22.56839857,18.1170367,17.46242466,18.2043183,18.37888151,18.37888151,18.37888151,20.86640726,23.74670024,17.59334707,21.5210193,17.28786145,0.1,          NOVALUE,          NOVALUE,          NOVALUE,1304,          NOVALUE,          NOVALUE,          NOVALUE,          NOVALUE,200,          NOVALUE,          NOVALUE
,,2.940537,28.1980621,28.98359655,19.51354238,19.03349355,22.52475776,18.0733959,17.46242466,18.2043183,18.37888151,18.37888151,18.37888151,20.86640726,23.83398184,17.59334707,21.56466011,17.33150225,0.2,          NOVALUE,          NOVALUE,          NOVALUE,1300,          NOVALUE,          NOVALUE,          NOVALUE,          NOVALUE,200,          NOVALUE,          NOVALUE
