Time_1Hz,17.T_Engine Room,18.T_Engine Room 2,19.T_Engine Room Surface,20.T_Fan Guard Around,21.T_NOx Sensor Down Under,1.T_Air,2.T_DP Sensor Surface Up,4.T_DP Sensor Surface Down,5.T_DP Sensor Surface In,6.T_DP Sensor Above,7.T_DP Sensor Under,8.T_NOx Sensor Up Above,9.T_NOx Sensor Up Surface,10.T_NOx Sensor Up Around,11.T_Reservoir Around Left,12.T_Reservoir Around Right,13.T_NOx Sensor Down Surface,14.T_NOx Sensor Down Around,15.T_DM Surface,16.T_DM Around
0.3613852,41.59578851,41.4648661,40.19928283,41.02845808,40.67933165,40.67933165,42.86137179,42.64316777,42.55588617,42.68680858,42.20675975,42.03219654,42.38132296,42.03219654,42.16311894,42.51224537,42.81773098,42.64316777,41.4648661,42.16311894
1.3613852,41.68307012,41.4212253,40.24292363,41.07209888,40.67933165,40.67933165,42.81773098,42.64316777,42.55588617,42.68680858,42.25040055,42.03219654,42.33768215,42.07583734,42.11947814,42.42496376,42.81773098,42.64316777,41.4212253,42.16311894
2.3613852,41.68307012,41.4648661,40.24292363,41.07209888,40.72297246,40.59205005,42.86137179,42.64316777,42.55588617,42.64316777,42.25040055,42.03219654,42.33768215,42.07583734,42.11947814,42.51224537,42.90501259,42.64316777,41.4212253,42.16311894
3.3613852,41.68307012,41.4212253,40.24292363,41.07209888,40.72297246,40.54840925,42.86137179,42.64316777,42.55588617,42.64316777,42.25040055,42.03219654,42.38132296,42.07583734,42.11947814,42.51224537,42.81773098,42.59952697,41.4648661,42.16311894
4.3613852,41.68307012,41.3775845,40.19928283,41.07209888,40.67933165,40.54840925,42.81773098,42.68680858,42.55588617,42.68680858,42.25040055,42.07583734,42.33768215,42.07583734,42.11947814,42.42496376,42.86137179,42.59952697,41.4648661,42.16311894
5.3613852,41.68307012,41.4212253,40.24292363,41.07209888,40.72297246,40.46112764,42.81773098,42.64316777,42.55588617,42.64316777,42.25040055,42.03219654,42.42496376,42.11947814,42.16311894,42.51224537,42.86137179,42.64316777,41.4648661,42.20675975
6.3613852,41.72671092,41.4648661,40.24292363,41.07209888,40.67933165,40.46112764,42.86137179,42.68680858,42.59952697,42.68680858,42.25040055,42.07583734,42.33768215,42.07583734,42.16311894,42.51224537,42.90501259,42.64316777,41.4648661,42.20675975
7.3613852,41.68307012,41.4648661,40.24292363,41.02845808,40.67933165,40.46112764,42.86137179,42.64316777,42.55588617,42.68680858,42.29404135,42.07583734,42.33768215,42.07583734,42.11947814,42.46860456,42.90501259,42.59952697,41.4648661,42.20675975
8.3613852,41.68307012,41.4648661,40.24292363,41.07209888,40.67933165,40.46112764,42.81773098,42.64316777,42.55588617,42.64316777,42.29404135,42.11947814,42.33768215,42.07583734,42.16311894,42.55588617,42.90501259,42.64316777,41.4648661,42.20675975
9.3613852,41.68307012,41.4648661,40.24292363,41.02845808,40.67933165,40.46112764,42.81773098,42.64316777,42.55588617,42.68680858,42.29404135,42.11947814,42.33768215,42.03219654,42.11947814,42.55588617,42.81773098,42.64316777,41.4648661,42.20675975
10.3613852,41.68307012,41.4648661,40.24292363,41.02845808,40.72297246,40.46112764,42.86137179,42.64316777,42.55588617,42.64316777,42.33768215,42.07583734,42.33768215,41.94491493,42.11947814,42.55588617,42.86137179,42.64316777,41.4648661,42.20675975
11.3613852,41.68307012,41.4648661,40.24292363,41.02845808,40.67933165,40.41748684,42.81773098,42.64316777,42.55588617,42.64316777,42.33768215,42.07583734,42.33768215,42.03219654,42.07583734,42.55588617,42.90501259,42.64316777,41.5085069,42.20675975
12.3613852,41.68307012,41.4648661,40.24292363,41.02845808,40.67933165,40.37384604,42.81773098,42.64316777,42.55588617,42.64316777,42.33768215,42.07583734,42.38132296,42.03219654,42.07583734,42.64316777,42.94865339,42.64316777,41.55214771,42.20675975
13.3613852,41.72671092,41.4648661,40.24292363,41.07209888,40.67933165,40.41748684,42.81773098,42.64316777,42.59952697,42.68680858,42.33768215,42.16311894,42.33768215,42.03219654,42.07583734,42.59952697,42.90501259,42.64316777,41.59578851,42.20675975
14.3613852,41.77035172,41.4648661,40.19928283,41.02845808,40.72297246,40.41748684,42.81773098,42.64316777,42.55588617,42.64316777,42.33768215,42.11947814,42.33768215,42.03219654,42.07583734,42.59952697,42.90501259,42.64316777,41.55214771,42.20675975
